,id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
611,612,2016,Chandigarh,5,3,3,1,normal,0,5,9,0,26
612,613,2016,Visakhapatnam,14,8,8,1,normal,0,14,85,0,6
613,614,2016,Kolkata,7,4,4,1,normal,0,4,0,5,8
614,615,2016,Chandigarh,13,5,5,1,normal,0,13,1,0,26
615,616,2016,Visakhapatnam,14,12,14,0,normal,0,14,4,0,6
616,617,2016,Bangalore,13,8,8,1,normal,0,8,0,6,17
617,618,2016,Hyderabad,14,3,3,1,normal,0,3,0,7,28
618,619,2016,Visakhapatnam,8,5,8,0,normal,0,5,0,7,6
619,620,2016,Bangalore,13,4,4,1,normal,0,13,144,0,17
620,621,2016,Kolkata,12,7,12,0,normal,1,7,0,8,8
621,622,2016,Chandigarh,5,14,5,0,normal,0,14,0,7,26
622,623,2016,Visakhapatnam,8,3,3,1,normal,0,8,80,0,6
623,624,2016,Kolkata,7,13,13,1,normal,0,13,0,9,8
624,625,2016,Visakhapatnam,3,12,12,1,normal,1,12,19,0,6
625,626,2016,Bangalore,13,5,5,1,normal,1,13,82,0,17
626,627,2016,Kanpur,7,4,4,1,normal,0,4,0,6,11
627,628,2016,Raipur,14,3,3,1,normal,0,3,0,6,33
628,629,2016,Visakhapatnam,5,12,5,0,normal,0,12,0,4,6
629,630,2016,Kanpur,8,4,4,1,normal,0,4,0,6,11
630,631,2016,Kolkata,7,14,14,1,normal,0,7,22,0,8
631,632,2016,Raipur,3,13,13,1,normal,0,13,0,6,33
632,633,2016,Bangalore,4,13,13,1,normal,0,13,0,4,17
633,634,2016,Delhi,14,7,7,1,normal,0,14,22,0,9
634,635,2016,Delhi,4,14,14,1,normal,0,14,0,4,9
